Nombre,NRC,Periodo
3313-2014-202542-VICHADA,VICHADA,202542
3313-2014-202542-G1,G1,202542
5553-0019-202542-52698,52698,202542
3313-2011-202542-52701,52701,202542
3313-2012-202542-52704,52704,202542
3313-2013-202542-52707,52707,202542
3313-2008-202542-52696,52696,202542
3313-2014-202542-G2,G2,202542
5553-0019-202542-52699,52699,202542
3313-2011-202542-52702,52702,202542
3313-2012-202542-52705,52705,202542
3313-2013-202542-52709,52709,202542
3313-2008-202542-52697,52697,202542
3313-2014-202542-G3,G3,202542
5553-0019-202542-52700,52700,202542
3313-2011-202542-52703,52703,202542
3313-2012-202542-52706,52706,202542
3313-2013-202542-52710,52710,202542
5557-0044-202542-53159,53159,202542
5559-2051V-202542-51853,51853,202542
5559-2052V-202542-51854,51854,202542
5568-0077-202542-51895,51895,202542
5559-2075V-202542-51858,51858,202542
5559-2053V-202542-51855,51855,202542
5559-2054V-202542-51856,51856,202542
5559-2055V-202542-51857,51857,202542
5559-2056V-202542-51860,51860,202542
6069-2154-202542-51865,51865,202542
5559-2057V-202542-51861,51861,202542
5559-2058V-202542-51862,51862,202542
5559-2059V-202542-52756,52756,202542
5559-2146V-202542-52758,52758,202542
5557-0044-202542-52477,52477,202542
5568-0077-202542-51843,51843,202542
5559-2118-202542-51844,51844,202542
5559-2119V-202542-51845,51845,202542
5559-2075V-202542-51842,51842,202542
5559-2120V-202542-51846,51846,202542
5559-2121V-202542-51847,51847,202542
5559-2122V-202542-51849,51849,202542
6069-2154-202542-CE,CE,202542
5559-2123V-202542-51850,51850,202542
5559-2124V-202542-51851,51851,202542
5559-2126V-202542-51852,51852,202542
5559-2083V-202542-51868,51868,202542
5559-2084V-202542-51869,51869,202542
5559-2085V-202542-51870,51870,202542
5559-2086V-202542-51871,51871,202542
5559-2075V-202542-51866,51866,202542
5559-2087V-202542-51872,51872,202542
5559-2088V-202542-51873,51873,202542
5559-2089V-202542-51874,51874,202542
6069-2154-202542-51882,51882,202542
5559-2090V-202542-51875,51875,202542
5559-2091V-202542-51876,51876,202542
5559-2092V-202542-51877,51877,202542
5559-2093V-202542-51878,51878,202542
5559-2075-202542-51924,51924,202542
5556-2031-202542-51883,51883,202542
5556-2036-202542-51888,51888,202542
5556-2033-202542-51885,51885,202542
5556-2032-202542-51884,51884,202542
5556-2034-202542-51886,51886,202542
5559-2165-202542-51896,51896,202542
5556-2041-202542-51892,51892,202542
5556-2040-202542-51891,51891,202542
5556-2038-202542-51889,51889,202542
5556-2042-202542-51893,51893,202542
5556-2039-202542-51890,51890,202542
5557-0044-202542V4-52620,52620,202542V4
6069-2001-202542V4-AP21,AP21,202542V4
6069-2001-202542V4-52546,52546,202542V4
6069-0088-202542V4-AP28,AP28,202542V4
6069-2154-202542V4-AP30,AP30,202542V4
6069-2154-202542V4-52642,52642,202542V4
5568-0086-202542V4-AP20,AP20,202542V4
6069-0141-202542V4-AP23,AP23,202542V4
6069-2153-202542V4-AP22,AP22,202542V4
3313-2007-202542V4-AP35,AP35,202542V4
6611-0037-202542V4-AP29,AP29,202542V4
3313-0070-202542V4-AP33,AP33,202542V4
5568-0079-202542V4-AP36,AP36,202542V4
3313-0050-202542V4-50053,50053,202542V4
6069-2153-202542V4-50082,50082,202542V4
6611-0036-202542V4-50083,50083,202542V4
6611-0035-202542V4-50084,50084,202542V4
6611-2020-202542V4-50085,50085,202542V4
3313-0051-202542V4-50122,50122,202542V4
5553-0019-202542V4-50123,50123,202542V4
3313-0046-202542V4-50124,50124,202542V4
3313-0047-202542V4-50125,50125,202542V4
